3/14 09:02:20.928  ---- Startup ----
3/14 09:02:30.072  ---- ClientAvailableHotfixes ----
3/14 09:02:30.072      51009, Creature
3/14 09:02:30.072      51009, SpellEffect
3/14 09:02:30.072      51009, MapChallengeMode
3/14 09:02:30.072      51009, SpellVisualKitAreaModel
3/14 09:02:30.072      51009, SpellAuraOptions
3/14 09:02:30.072      51009, SpellMisc
3/14 09:02:30.072      51009, MapChallengeMode
3/14 09:02:30.072      51009, SpellMisc
3/14 09:02:30.072      51009, SpellMisc
3/14 09:02:30.072      51009, Creature
3/14 09:02:30.072      51009, SpellVisualKitEffect
3/14 09:02:30.072      51010, SpellMisc
3/14 09:02:30.072      51010, SpellMisc
3/14 09:02:30.072      51011, SpellEffect
3/14 09:02:30.072      51012, QuestPOIPoint
3/14 09:02:30.072      51012, QuestPOIBlob
3/14 09:02:30.072      51012, QuestPOIBlob
3/14 09:02:30.072      51012, QuestPOIBlob
3/14 09:02:30.072      51012, QuestPOIPoint
3/14 09:02:30.072      51012, QuestPOIPoint
3/14 09:02:30.072      51013, SpellReagents
3/14 09:02:30.072      51014, SpellEffect
3/14 09:02:30.072      51014, SpellEffect
3/14 09:02:30.072      51014, SpellMisc
3/14 09:02:30.072      51014, SpellEffect
3/14 09:02:30.072      51014, CreatureDifficulty
3/14 09:02:30.072      51014, CreatureDifficulty
3/14 09:02:30.072      51014, JournalSectionXDifficulty
3/14 09:02:30.072      51014, CreatureDifficulty
3/14 09:02:30.072      51014, JournalEncounterSection
3/14 09:02:30.072      51014, CreatureDifficulty
3/14 09:02:30.072      51014, JournalEncounterSection
3/14 09:02:30.072      51014, SpellEffect
3/14 09:02:30.072      51014, CreatureDifficulty
3/14 09:02:30.072      51014, SpellEffect
3/14 09:02:30.072      51014, SpellMisc
3/14 09:02:30.072      51014, SpellMisc
3/14 09:02:30.072      51014, SpellMisc
3/14 09:02:30.072      51014, CreatureDifficulty
3/14 09:02:30.072      51014, CreatureDifficulty
3/14 09:02:30.072      51014, CreatureDifficulty
3/14 09:02:30.072      51014, SpellEffect
3/14 09:02:30.072      51014, SpellEffect
3/14 09:02:30.072      51014, CreatureDifficulty
3/14 09:02:30.072      51014, CreatureDifficulty
3/14 09:02:30.072      51014, CreatureDifficulty
3/14 09:02:30.072      51014, CreatureDifficulty
3/14 09:02:30.072      51014, SpellMisc
3/14 09:02:30.072      51014, SpellEffect
3/14 09:02:30.072      51014, CreatureDifficulty
3/14 09:02:30.072      51014, SpellEffect
3/14 09:02:30.072      51014, SpellMisc
3/14 09:02:30.072      51014, CreatureDifficulty
3/14 09:02:30.072      51014, CreatureDifficulty
3/14 09:02:30.072      51014, SpellEffect
3/14 09:02:30.072      51014, SpellMisc
3/14 09:02:30.072      51014, JournalSectionXDifficulty
3/14 09:02:30.072      51014, SpellEffect
3/14 09:02:30.072      51014, CreatureDifficulty
3/14 09:02:30.072      51014, SpellMisc
3/14 09:02:30.072      51014, CreatureDifficulty
3/14 09:02:30.072      51014, SpellEffect
3/14 09:02:30.072      51014, CreatureDifficulty
3/14 09:02:30.072      51014, SpellTargetRestrictions
3/14 09:02:30.072      51014, SpellEffect
3/14 09:02:30.072      51014, CreatureDifficulty
3/14 09:02:30.072      51014, CreatureDifficulty
3/14 09:02:30.072      51014, SpellEffect
3/14 09:02:30.072      51014, SpellEffect
3/14 09:02:30.072      51014, SpellMisc
3/14 09:02:30.072      51018, SpellMisc
3/14 09:02:30.072      51018, SpellMisc
3/14 09:02:30.072      51018, SpellMisc
3/14 09:02:30.072      51020, GameObjects
3/14 09:02:30.072      51020, SpellEffect
3/14 09:02:30.072      51020, SpellEffect
3/14 09:02:30.072      51020, SpellMisc
3/14 09:02:30.072      51020, SpellAuraRestrictions
3/14 09:02:30.072      51020, SpellName
3/14 09:02:30.072      51020, SpellEffect
3/14 09:02:30.072      51020, Spell
3/14 09:02:30.072      51021, CreatureDifficulty
3/14 09:02:30.072      51022, CreatureDifficulty
3/14 09:02:30.072      51022, CreatureDifficulty
3/14 09:02:30.072      51022, CreatureDifficulty
3/14 09:02:30.072      51022, CreatureDifficulty
3/14 09:02:30.072      51022, CreatureDifficulty
3/14 09:02:30.072      51022, CreatureDifficulty
3/14 09:02:30.072      51022, CreatureDifficulty
3/14 09:02:30.072      51022, CreatureDifficulty
3/14 09:02:30.072      51022, CreatureDifficulty
3/14 09:02:30.072      51022, CreatureDifficulty
3/14 09:02:30.072      51022, CreatureDifficulty
3/14 09:02:30.072      51022, CreatureDifficulty
3/14 09:02:30.072      51022, CreatureDifficulty
3/14 09:02:30.072      51022, CreatureDifficulty
3/14 09:02:30.072      51022, CreatureDifficulty
3/14 09:02:30.072      51024, AreaTriggerActionSet
3/14 09:02:30.072      51024, ModifierTree
3/14 09:02:30.072      51024, ModifierTree
3/14 09:02:30.072      51024, ModifierTree
3/14 09:02:30.072      51024, ModifierTree
3/14 09:02:30.072      51024, ModifierTree
3/14 09:02:30.072      51024, ModifierTree
3/14 09:02:30.072      51024, ModifierTree
3/14 09:02:30.072      51024, PlayerCondition
3/14 09:02:30.072      51025, CreatureDifficulty
3/14 09:02:30.072      51025, Creature
3/14 09:02:30.072      51027, CreatureDifficulty
3/14 09:02:30.072      51028, SpellEffect
3/14 09:02:30.072      51029, Creature
3/14 09:02:30.072      51029, CreatureDifficulty
3/14 09:02:30.072      51030, SpellMisc
3/14 09:02:30.072      51031, CreatureDifficulty
3/14 09:02:30.072      51031, SpellEffect
3/14 09:02:30.072      51031, SpellEffect
3/14 09:02:30.072      51032, SpellMisc
3/14 09:02:30.072      51033, Creature
3/14 09:02:30.072      51033, CreatureDifficulty
3/14 09:02:30.072      51033, CreatureDifficulty
3/14 09:02:30.072      51034, SpellMisc
3/14 09:02:30.072      51035, Creature
3/14 09:02:30.072      51035, CreatureDifficulty
3/14 09:02:30.072      51035, CreatureDifficulty
3/14 09:02:30.072      51035, Creature
3/14 09:02:30.072      51035, Creature
3/14 09:02:30.072      51035, CreatureDifficulty
3/14 09:02:30.072      51035, Creature
3/14 09:02:30.072      51035, CreatureDifficulty
3/14 09:02:30.072      51035, CreatureDifficulty
3/14 09:02:30.072      51035, Creature
3/14 09:02:30.072      51035, CreatureDifficulty
3/14 09:02:30.072      51036, CreatureDifficulty
3/14 09:02:30.072      51038, SpellMisc
3/14 09:02:30.072      51038, SpellMisc
3/14 09:02:30.072      51039, CreatureDifficulty
3/14 09:02:30.072      51039, SpellEffect
3/14 09:02:30.072      51039, SpellEffect
3/14 09:02:30.072      51039, JournalEncounterSection
3/14 09:02:30.072      51039, CreatureDifficulty
3/14 09:02:30.072      51039, SpellEffect
3/14 09:02:30.072      51039, CreatureDifficulty
3/14 09:02:30.072      51039, SpellEffect
3/14 09:02:30.072      51039, SpellEffect
3/14 09:02:30.072      51039, JournalSectionXDifficulty
3/14 09:02:30.072      51039, JournalSectionXDifficulty
3/14 09:02:30.072      51039, SpellEffect
3/14 09:02:30.072      51039, CreatureDifficulty
3/14 09:02:30.072      51039, SpellEffect
3/14 09:02:30.072      51039, CreatureDifficulty
3/14 09:02:30.072      51039, JournalSectionXDifficulty
3/14 09:02:30.072      51039, CreatureDifficulty
3/14 09:02:30.072      51039, SpellEffect
3/14 09:02:30.072      51039, JournalEncounterSection
3/14 09:02:30.072      51039, CreatureDifficulty
3/14 09:02:30.072      51039, JournalSectionXDifficulty
3/14 09:02:30.072      51040, SpellMisc
3/14 09:02:30.072      51042, Criteria
3/14 09:02:30.072      51042, ModifierTree
3/14 09:02:30.072      51042, WorldStateExpression
3/14 09:02:30.072      51042, ModifierTree
3/14 09:02:30.072      51043, ModifierTree
3/14 09:02:30.072      51043, PlayerCondition
3/14 09:02:30.072      51043, ModifierTree
3/14 09:02:30.072      51043, ModifierTree
3/14 09:02:30.072      51043, ModifierTree
3/14 09:02:30.072      51043, ModifierTree
3/14 09:02:30.072      51043, ModifierTree
3/14 09:02:30.072      51043, ModifierTree
3/14 09:02:30.072      51043, ModifierTree
3/14 09:02:30.072      51044, SpellMisc
3/14 09:02:30.072      51044, SpellMisc
3/14 09:02:30.072      51044, SpellMisc
3/14 09:02:30.072      51045, QuestObjective
3/14 09:02:30.072      51045, QuestV2CliTask
3/14 09:02:30.072      51045, QuestV2
3/14 09:02:30.072      51045, QuestV2
3/14 09:02:30.072      51045, QuestV2CliTask
3/14 09:02:30.072      51046, Creature
3/14 09:02:30.072      51050, SpellCategories
3/14 09:02:30.072      51050, SpellMisc
3/14 09:02:30.072      51050, BattlePetSpeciesXAbility
3/14 09:02:30.072      51050, SpellInterrupts
3/14 09:02:30.072      51050, SpellCooldowns
3/14 09:02:30.072      51050, SpellEffect
3/14 09:02:30.072      51050, Spell
3/14 09:02:30.072      51050, BattlePetSpeciesState
3/14 09:02:30.072      51050, BattlePetSpeciesXAbility
3/14 09:02:30.072      51050, BattlePetSpeciesState
3/14 09:02:30.072      51050, BattlePetSpeciesState
3/14 09:02:30.072      51050, SpellName
3/14 09:02:30.072      51050, BattlePetSpeciesXAbility
3/14 09:02:30.072      51050, CreatureXDisplayInfo
3/14 09:02:30.072      51050, CreatureDifficulty
3/14 09:02:30.072      51050, SpellXSpellVisual
3/14 09:02:30.072      51050, BattlePetSpecies
3/14 09:02:30.072      51050, BattlePetSpeciesXAbility
3/14 09:02:30.072      51050, BattlePetSpeciesXAbility
3/14 09:02:30.072      51050, BattlePetSpeciesXAbility
3/14 09:02:30.072      51050, Creature
3/14 09:02:30.072      51051, SpellEffect
3/14 09:02:30.072      51051, SpellEffect
3/14 09:02:30.072      51051, SpellEffect
3/14 09:02:30.072      51051, SpellInterrupts
3/14 09:02:30.072      51051, SpellEffect
3/14 09:02:30.072      51051, SpellMisc
3/14 09:02:30.072      51051, Spell
3/14 09:02:30.072      51051, SpellName
3/14 09:02:30.072      51051, SpellMisc
3/14 09:02:30.072      51051, Spell
3/14 09:02:30.072      51051, SpellName
3/14 09:02:30.072      51052, QuestV2
3/14 09:02:30.072      51052, QuestV2CliTask
